Team,(Bye),Overall,ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,SACK (Projected),INT (Projected),FR (Projected),FF (Projected),TD (Projected),SAFETY (Projected),PA (Projected),YDS AGN (Projected),FPTS (Projected)
Denver Broncos,12.0,155.0,3,2.0,2.0,2.0,1.0,2.0,52.4,12.5,11.1,15.7,2.6,0.5,341.3,5388.0,116.3
Philadelphia Eagles,9.0,157.0,6,1.0,1.0,1.0,2.0,2.2,45.7,13.5,13.3,22.5,2.7,0.0,344.0,5510.1,115.6
Pittsburgh Steelers,5.0,170.0,2,3.0,5.0,4.0,4.0,4.8,43.9,13.8,12.1,20.1,2.5,0.0,347.4,5679.5,110.7
Baltimore Ravens,7.0,188.0,4,4.0,3.0,7.0,6.0,4.8,52.4,13.9,9.7,13.7,2.3,0.5,340.7,5350.5,114.3
Minnesota Vikings,6.0,181.0,5,5.0,6.0,6.0,7.0,5.8,45.8,13.5,10.3,15.2,2.5,0.0,356.6,5299.6,108.5
Houston Texans,6.0,190.0,1,7.0,8.0,11.0,5.0,7.0,47.2,15.5,10.0,14.1,2.7,0.5,348.1,5478.1,115.3
Buffalo Bills,7.0,202.0,10,9.0,4.0,13.0,3.0,7.8,45.4,14.0,12.8,21.2,2.7,0.5,344.6,5806.2,116.3
San Francisco 49ers,14.0,198.0,14,11.0,16.0,5.0,12.0,9.8,42.9,13.5,8.9,14.1,2.3,1.0,384.0,5638.2,103.6
Detroit Lions,8.0,210.0,7,8.0,11.0,10.0,9.0,10.2,43.1,13.8,9.6,14.2,2.5,0.0,375.1,5786.4,104.8
Kansas City Chiefs,10.0,208.0,12,6.0,13.0,12.0,8.0,10.2,45.5,12.1,9.3,13.8,2.2,0.5,347.4,5580.4,102.7
Tampa Bay Buccaneers,9.0,231.0,16,12.0,,9.0,20.0,13.6,44.3,11.7,11.0,16.7,2.0,0.5,374.8,5743.0,102.7
Green Bay Packers,5.0,238.0,17,21.0,7.0,18.0,13.0,15.8,46.1,12.5,11.7,18.4,2.2,0.5,363.0,5647.6,108.6
Seattle Seahawks,8.0,248.0,8,24.0,15.0,8.0,24.0,16.0,45.1,12.9,8.6,14.2,2.0,0.5,362.2,5632.5,101.3
New York Giants,14.0,236.0,15,17.0,10.0,16.0,14.0,16.6,50.8,10.5,11.9,19.2,2.1,0.0,419.9,5855.7,108.3
Dallas Cowboys,10.0,262.0,18,18.0,12.0,22.0,11.0,16.8,51.9,12.0,10.3,16.5,2.6,0.0,397.2,5922.8,111.7
Chicago Bears,5.0,290.0,19,10.0,20.0,,16.0,17.2,40.5,13.2,10.2,17.3,2.2,0.5,386.8,5919.1,101.4
New England Patriots,14.0,272.0,9,15.0,14.0,17.0,21.0,17.4,36.1,11.5,8.2,11.7,1.6,0.0,402.5,5520.5,85.3
Los Angeles Chargers,12.0,259.0,24,,9.0,20.0,17.0,17.8,46.8,12.3,9.9,15.3,2.1,0.0,371.0,5794.4,103.5
Arizona Cardinals,8.0,285.0,20,20.0,19.0,,15.0,18.2,41.4,11.7,8.9,14.7,2.1,1.0,398.7,5805.8,97.1
Washington Commanders,12.0,209.0,22,19.0,17.0,3.0,18.0,18.4,45.9,11.1,10.3,16.0,2.1,0.5,398.9,6104.0,102.4
Cincinnati Bengals,10.0,302.0,25,16.0,,,19.0,18.6,40.1,12.4,9.3,14.7,2.1,0.0,422.5,6156.1,96.2
New York Jets,9.0,273.0,13,23.0,18.0,15.0,22.0,19.2,43.0,12.3,9.5,14.3,1.8,0.5,387.2,5401.1,98.5
Los Angeles Rams,8.0,234.0,21,22.0,21.0,21.0,10.0,20.0,44.7,12.7,8.7,14.3,2.3,0.5,375.7,5910.1,102.0
Cleveland Browns,9.0,329.0,23,25.0,,,23.0,21.0,44.9,11.1,9.2,14.4,2.2,0.0,417.7,5984.7,98.8
Miami Dolphins,12.0,287.0,32,13.0,,19.0,,22.6,40.0,11.4,9.0,13.1,2.0,0.5,392.9,5708.0,93.7
Indianapolis Colts,11.0,316.0,11,,,23.0,,22.8,41.8,12.8,9.6,15.8,2.2,1.0,408.0,5851.6,102.0
Atlanta Falcons,5.0,338.0,26,,,,25.0,23.0,39.1,11.7,8.5,14.0,1.9,0.5,412.2,6022.3,92.2
Las Vegas Raiders,8.0,317.0,28,,,24.0,,26.0,42.5,11.0,8.0,12.5,1.9,0.5,418.2,5762.8,93.1
Tennessee Titans,10.0,282.0,31,,,14.0,,26.8,39.6,10.9,8.6,13.8,1.7,0.5,421.1,5702.6,89.8
New Orleans Saints,11.0,323.0,30,,,26.0,,27.3,37.9,13.1,7.6,9.7,1.8,0.0,389.7,5855.2,90.1
Jacksonville Jaguars,8.0,319.0,29,,,25.0,,28.5,38.8,12.0,8.2,11.2,2.0,0.0,413.0,5851.0,90.9
Carolina Panthers,14.0,,27,,,,,30.3,34.7,11.2,7.8,11.9,1.7,0.0,442.4,6334.1,83.0
